Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2019-01-11,,0.0,0.0,,0.0
2019-01-10,961.23,961.89,948.26,0.0,0.0
2019-01-09,957.62,961.56,946.92,0.0,0.0
2019-01-08,946.98,952.38,935.68,0.0,0.0
2019-01-07,942.2,950.3,929.61,0.0,0.0
2019-01-04,931.97,935.03,895.85,0.0,0.0
2019-01-03,895.91,925.42,894.24,0.0,0.0
2019-01-02,925.48,929.87,901.31,0.0,0.0
2018-12-31,918.18,922.82,908.65,0.0,0.0
2018-12-28,914.21,925.47,908.04,0.0,0.0
2018-12-27,915.99,916.1,884.95,0.0,0.0
2018-12-26,908.31,908.29,863.93,0.0,0.0
2018-12-24,864.82,886.56,864.82,0.0,0.0
2018-12-21,882.28,913.72,876.89,0.0,0.0
2018-12-20,901.86,922.36,890.69,0.0,0.0
2018-12-19,916.31,947.59,911.34,0.0,0.0
2018-12-18,937.44,948.74,932.99,0.0,0.0
2018-12-17,934.73,958.34,929.68,0.0,0.0
2018-12-14,951.53,968.97,950.26,0.0,0.0
2018-12-13,969.03,984.17,965.09,0.0,0.0
2018-12-12,978.4,991.64,969.19,0.0,0.0
2018-12-11,969.25,988.44,962.17,0.0,0.0
2018-12-10,969.71,973.7,952.04,0.0,0.0
2018-12-07,964.74,994.89,961.61,0.0,0.0
2018-12-06,993.82,996.43,974.62,0.0,0.0
2018-12-04,996.56,1028.21,994.58,0.0,0.0
2018-12-03,1028.28,1032.62,1013.8,0.0,0.0
2018-11-30,1014.01,1014.27,1005.98,0.0,0.0
2018-11-29,1011.64,1019.52,1006.55,0.0,0.0
2018-11-28,1017.28,1017.39,991.97,0.0,0.0
2018-11-27,999.06,1001.36,989.9,0.0,0.0
2018-11-26,996.48,996.89,979.37,0.0,0.0
2018-11-23,979.57,987.14,968.05,0.0,0.0
2018-11-21,975.76,985.03,965.74,0.0,0.0
2018-11-20,965.81,981.71,960.78,0.0,0.0
2018-11-19,980.71,1003.1,979.08,0.0,0.0
2018-11-16,1003.3,1007.6,992.87,0.0,0.0
2018-11-15,1004.27,1006.07,976.83,0.0,0.0
2018-11-14,984.18,1000.83,981.11,0.0,0.0
2018-11-13,986.27,1001.1,983.19,0.0,0.0
2018-11-12,986.65,1006.92,985.35,0.0,0.0
2018-11-09,1007.13,1025.64,1000.45,0.0,0.0
2018-11-08,1025.71,1034.39,1022.36,0.0,0.0
2018-11-07,1033.3,1033.25,1019.53,0.0,0.0
2018-11-06,1019.6,1020.96,1001.09,0.0,0.0
2018-11-05,1001.15,1005.14,992.93,0.0,0.0
2018-11-02,1001.17,1010.77,993.35,0.0,0.0
2018-11-01,1004.95,1006.23,975.78,0.0,0.0
2018-10-31,975.84,982.66,961.91,0.0,0.0
2018-10-30,961.98,963.11,944.66,0.0,0.0
2018-10-29,944.73,969.72,932.45,0.0,0.0
2018-10-26,950.5,974.99,937.58,0.0,0.0
2018-10-25,975.06,982.51,957.14,0.0,0.0
2018-10-24,957.2,998.4,956.63,0.0,0.0
2018-10-23,998.47,1003.24,976.24,0.0,0.0
2018-10-22,1002.34,1012.17,999.07,0.0,0.0
2018-10-19,1004.34,1023.64,1002.73,0.0,0.0
2018-10-18,1012.71,1033.1,1009.67,0.0,0.0
2018-10-17,1033.17,1038.94,1025.06,0.0,0.0
2018-10-16,1032.22,1033.13,1011.79,0.0,0.0
2018-10-15,1011.86,1020.4,1005.56,0.0,0.0
2018-10-12,1013.61,1016.96,997.83,0.0,0.0
2018-10-11,997.9,1018.94,991.89,0.0,0.0
2018-10-10,1009.25,1032.94,1009.29,0.0,0.0
2018-10-09,1033.01,1039.55,1031.39,0.0,0.0
2018-10-08,1038.17,1043.63,1029.45,0.0,0.0
2018-10-05,1043.58,1059.61,1037.62,0.0,0.0
2018-10-04,1055.58,1072.62,1049.3,0.0,0.0
2018-10-03,1072.69,1077.11,1070.26,0.0,0.0
2018-10-02,1071.8,1078.7,1070.77,0.0,0.0
2018-10-01,1072.94,1083.73,1070.87,0.0,0.0
2018-09-28,1079.38,1080.7,1074.26,0.0,0.0
2018-09-27,1079.49,1086.28,1078.59,0.0,0.0
2018-09-26,1080.13,1091.19,1079.43,0.0,0.0
2018-09-25,1084.07,1093.42,1082.17,0.0,0.0
2018-09-24,1093.32,1103.53,1092.06,0.0,0.0
2018-09-21,1103.76,1107.68,1101.89,0.0,0.0
2018-09-20,1103.58,1105.37,1092.24,0.0,0.0
2018-09-19,1092.31,1094.73,1088.82,0.0,0.0
2018-09-18,1089.62,1091.68,1081.39,0.0,0.0
2018-09-17,1081.46,1089.7,1080.78,0.0,0.0
2018-09-14,1089.92,1094.02,1086.16,0.0,0.0
2018-09-13,1088.43,1092.2,1083.61,0.0,0.0
2018-09-12,1083.68,1084.86,1071.92,0.0,0.0
2018-09-11,1081.86,1085.48,1075.11,0.0,0.0
2018-09-10,1084.46,1085.09,1078.07,0.0,0.0
2018-09-07,1078.29,1084.17,1076.34,0.0,0.0
2018-09-06,1082.28,1090.77,1080.26,0.0,0.0
2018-09-05,1090.11,1091.49,1082.66,0.0,0.0
2018-09-04,1090.88,1095.97,1084.29,0.0,0.0
2018-08-31,1096.27,1096.93,1091.24,0.0,0.0
2018-08-30,1093.59,1114.02,1092.68,0.0,0.0
2018-08-29,1114.1,1115.73,1108.43,0.0,0.0
2018-08-28,1109.97,1111.63,1104.71,0.0,0.0
2018-08-27,1107.84,1111.92,1101.45,0.0,0.0
2018-08-24,1101.67,1102.97,1094.62,0.0,0.0
2018-08-23,1094.69,1100.84,1092.88,0.0,0.0
2018-08-22,1098.7,1100.05,1094.37,0.0,0.0
2018-08-21,1099.21,1103.18,1090.73,0.0,0.0
2018-08-20,1090.8,1093.08,1086.1,0.0,0.0
2018-08-17,1090.2,1091.62,1079.51,0.0,0.0
2018-08-16,1086.1,1092.08,1081.83,0.0,0.0
2018-08-15,1081.91,1092.31,1074.87,0.0,0.0
2018-08-14,1092.39,1094.78,1086.62,0.0,0.0
2018-08-13,1086.69,1093.95,1084.53,0.0,0.0
2018-08-10,1088.41,1102.37,1084.8,0.0,0.0
2018-08-09,1102.45,1109.26,1102.22,0.0,0.0
2018-08-08,1109.34,1110.79,1102.41,0.0,0.0
2018-08-07,1106.57,1113.85,1104.89,0.0,0.0
2018-08-06,1113.93,1115.37,1107.69,0.0,0.0
2018-08-03,1108.76,1108.75,1099.71,0.0,0.0
2018-08-02,1104.06,1104.69,1089.28,0.0,0.0
2018-08-01,1096.63,1101.99,1094.44,0.0,0.0
2018-07-31,1101.57,1103.46,1093.4,0.0,0.0
2018-07-30,1093.48,1100.13,1091.28,0.0,0.0
2018-07-27,1099.49,1110.58,1091.9,0.0,0.0
2018-07-26,1103.41,1107.44,1094.86,0.0,0.0
2018-07-25,1094.93,1094.94,1083.48,0.0,0.0
2018-07-24,1085.87,1101.4,1084.43,0.0,0.0
2018-07-23,1095.21,1097.91,1085.53,0.0,0.0
2018-07-20,1087.26,1096.04,1086.62,0.0,0.0
2018-07-19,1096.11,1099.34,1088.83,0.0,0.0
2018-07-18,1097.27,1099.4,1094.1,0.0,0.0
2018-07-17,1097.97,1098.38,1085.18,0.0,0.0
2018-07-16,1091.73,1098.72,1089.57,0.0,0.0
2018-07-13,1098.95,1100.87,1097.15,0.0,0.0
2018-07-12,1097.84,1098.16,1077.72,0.0,0.0
2018-07-11,1077.8,1091.81,1074.53,0.0,0.0
2018-07-10,1091.88,1093.06,1086.84,0.0,0.0
2018-07-09,1092.66,1092.67,1084.33,0.0,0.0
2018-07-06,1084.55,1085.22,1071.95,0.0,0.0
2018-07-05,1072.02,1072.22,1055.86,0.0,0.0
2018-07-03,1056.01,1066.26,1055.5,0.0,0.0
2018-07-02,1058.82,1059.05,1041.4,0.0,0.0
2018-06-29,1051.22,1058.8,1050.33,0.0,0.0
2018-06-28,1050.41,1052.17,1038.03,0.0,0.0
2018-06-27,1044.64,1066.15,1044.49,0.0,0.0
2018-06-26,1063.24,1066.23,1059.14,0.0,0.0
2018-06-25,1063.23,1079.27,1056.54,0.0,0.0
2018-06-22,1079.49,1084.41,1077.92,0.0,0.0
2018-06-21,1081.11,1092.25,1079.97,0.0,0.0
2018-06-20,1090.68,1092.33,1085.43,0.0,0.0
2018-06-19,1086.89,1094.64,1078.18,0.0,0.0
2018-06-18,1094.72,1097.76,1087.0,0.0,0.0
2018-06-15,1097.99,1098.34,1087.05,0.0,0.0
2018-06-14,1097.73,1099.03,1091.95,0.0,0.0
2018-06-13,1092.03,1101.43,1090.18,0.0,0.0
2018-06-12,1097.38,1098.27,1090.26,0.0,0.0
2018-06-11,1091.95,1095.29,1088.59,0.0,0.0
2018-06-08,1088.81,1089.71,1080.52,0.0,0.0
2018-06-07,1087.2,1096.18,1080.78,0.0,0.0
2018-06-06,1094.61,1094.62,1083.63,0.0,0.0
2018-06-05,1083.92,1090.7,1081.31,0.0,0.0
2018-06-04,1081.38,1082.5,1077.3,0.0,0.0
2018-06-01,1080.67,1080.88,1067.31,0.0,0.0
2018-05-31,1067.38,1075.83,1065.69,0.0,0.0
2018-05-30,1075.39,1078.22,1066.0,0.0,0.0
2018-05-29,1066.07,1072.63,1058.84,0.0,0.0
2018-05-25,1072.92,1077.12,1070.95,0.0,0.0
2018-05-24,1071.29,1075.13,1062.61,0.0,0.0
2018-05-23,1073.35,1073.89,1063.99,0.0,0.0
2018-05-22,1073.96,1083.12,1073.15,0.0,0.0
2018-05-21,1075.62,1080.5,1069.96,0.0,0.0
2018-05-18,1070.18,1076.54,1069.57,0.0,0.0
2018-05-17,1076.62,1083.59,1070.73,0.0,0.0
2018-05-16,1077.86,1081.26,1066.96,0.0,0.0
2018-05-15,1067.03,1070.04,1058.45,0.0,0.0
2018-05-14,1070.11,1075.83,1062.47,0.0,0.0
2018-05-11,1062.69,1081.12,1059.55,0.0,0.0
2018-05-10,1081.2,1082.55,1067.73,0.0,0.0
2018-05-09,1067.81,1068.86,1053.21,0.0,0.0
2018-05-08,1057.6,1065.62,1050.88,0.0,0.0
2018-05-07,1064.39,1067.18,1055.76,0.0,0.0
2018-05-04,1055.97,1058.08,1033.21,0.0,0.0
2018-05-03,1040.98,1042.57,1022.41,0.0,0.0
2018-05-02,1040.6,1049.58,1038.4,0.0,0.0
2018-05-01,1049.66,1049.99,1034.78,0.0,0.0
2018-04-30,1043.38,1057.76,1042.68,0.0,0.0
2018-04-27,1051.6,1061.67,1048.85,0.0,0.0
2018-04-26,1055.31,1057.5,1038.31,0.0,0.0
2018-04-25,1038.38,1044.47,1026.55,0.0,0.0
2018-04-24,1044.54,1061.63,1038.58,0.0,0.0
2018-04-23,1045.94,1055.36,1041.77,0.0,0.0
2018-04-20,1043.04,1055.51,1039.49,0.0,0.0
2018-04-19,1052.63,1072.44,1050.56,0.0,0.0
2018-04-18,1072.52,1075.26,1065.94,0.0,0.0
2018-04-17,1074.68,1077.05,1063.14,0.0,0.0
2018-04-16,1063.21,1068.07,1055.81,0.0,0.0
2018-04-13,1056.03,1067.09,1052.27,0.0,0.0
2018-04-12,1063.22,1066.69,1052.78,0.0,0.0
2018-04-11,1052.85,1063.89,1050.82,0.0,0.0
2018-04-10,1059.35,1064.19,1034.81,0.0,0.0
2018-04-09,1034.89,1055.95,1032.41,0.0,0.0
2018-04-06,1032.62,1058.08,1026.51,0.0,0.0
2018-04-05,1058.15,1067.89,1052.76,0.0,0.0
2018-04-04,1059.83,1062.3,1028.41,0.0,0.0
2018-04-03,1045.13,1046.94,1031.86,0.0,0.0
2018-04-02,1033.7,1062.31,1025.99,0.0,0.0
2018-03-29,1061.23,1069.97,1046.27,0.0,0.0
2018-03-28,1046.34,1058.62,1042.34,0.0,0.0
2018-03-27,1049.58,1079.86,1044.4,0.0,0.0
2018-03-26,1071.82,1072.43,1045.87,0.0,0.0
2018-03-23,1046.09,1079.14,1046.29,0.0,0.0
2018-03-22,1073.8,1099.37,1073.85,0.0,0.0
2018-03-21,1099.45,1109.59,1096.04,0.0,0.0
2018-03-20,1097.25,1103.5,1094.48,0.0,0.0
2018-03-19,1099.48,1117.18,1088.69,0.0,0.0
2018-03-16,1117.41,1122.74,1112.03,0.0,0.0
2018-03-15,1112.1,1118.53,1109.35,0.0,0.0
2018-03-14,1114.47,1120.31,1110.15,0.0,0.0
2018-03-13,1116.78,1137.27,1115.38,0.0,0.0
2018-03-12,1129.2,1131.13,1122.42,0.0,0.0
2018-03-09,1124.69,1125.28,1105.16,0.0,0.0
2018-03-08,1105.23,1108.04,1099.34,0.0,0.0
2018-03-07,1099.42,1104.63,1090.79,0.0,0.0
2018-03-06,1104.71,1104.73,1090.8,0.0,0.0
2018-03-05,1090.87,1093.42,1071.52,0.0,0.0
2018-03-02,1077.76,1079.33,1058.25,0.0,0.0
2018-03-01,1067.86,1084.57,1058.13,0.0,0.0
2018-02-28,1074.88,1092.09,1075.08,0.0,0.0
2018-02-27,1080.27,1101.74,1080.41,0.0,0.0
2018-02-26,1096.74,1097.15,1086.63,0.0,0.0
2018-02-23,1087.63,1087.63,1071.3,0.0,0.0
2018-02-22,1071.38,1082.26,1069.77,0.0,0.0
2018-02-21,1072.86,1090.28,1072.85,0.0,0.0
2018-02-20,1079.4,1089.01,1074.96,0.0,0.0
2018-02-16,1078.5,1086.37,1076.37,0.0,0.0
2018-02-15,1077.52,1077.48,1060.5,0.0,0.0
2018-02-14,1066.28,1068.57,1041.02,0.0,0.0
2018-02-13,1047.56,1049.96,1037.56,0.0,0.0
2018-02-12,1049.11,1057.07,1038.0,0.0,0.0
2018-02-09,1038.21,1045.34,1003.77,0.0,0.0
2018-02-08,1028.35,1069.26,1028.22,0.0,0.0
2018-02-07,1066.48,1085.77,1065.41,0.0,0.0
2018-02-06,1077.86,1080.22,1040.84,0.0,0.0
2018-02-05,1058.85,1101.95,1058.96,0.0,0.0
2018-02-02,1095.46,1118.92,1095.49,0.0,0.0
2018-02-01,1119.0,1126.74,1109.39,0.0,0.0
2018-01-31,1118.68,1126.93,1114.12,0.0,0.0
2018-01-30,1114.57,1129.61,1112.88,0.0,0.0
2018-01-29,1129.69,1137.85,1119.54,0.0,0.0
2018-01-26,1128.86,1128.54,1110.81,0.0,0.0
2018-01-25,1110.89,1131.29,1109.98,0.0,0.0
2018-01-24,1118.38,1129.83,1113.27,0.0,0.0
2018-01-23,1124.22,1124.68,1116.64,0.0,0.0
2018-01-22,1118.84,1118.73,1108.98,0.0,0.0
2018-01-19,1111.74,1111.68,1100.76,0.0,0.0
2018-01-18,1103.7,1105.12,1098.11,0.0,0.0
2018-01-17,1103.69,1106.34,1089.08,0.0,0.0
2018-01-16,1089.15,1105.8,1086.58,0.0,0.0
2018-01-12,1098.71,1099.76,1088.15,0.0,0.0
2018-01-11,1088.23,1088.24,1075.76,0.0,0.0
2018-01-10,1075.83,1080.88,1070.62,0.0,0.0
2018-01-09,1080.95,1085.98,1079.12,0.0,0.0
2018-01-08,1084.11,1085.24,1078.53,0.0,0.0
2018-01-05,1080.79,1081.66,1069.38,0.0,0.0
2018-01-04,1069.45,1072.31,1063.46,0.0,0.0
2018-01-03,1064.45,1065.14,1055.69,0.0,0.0
2018-01-02,1055.77,1056.06,1037.56,0.0,0.0
